model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,diff_qtitle_file_all_recent,diff,title,file,all,0.380854784254722,0.622186507936508,0.52,0.16136623541835463,0.3833333333333333,0.35070908891387453,0.28800000000000003,0.4276645100507252,0.1825,0.5330086461547793
bge-small,recent,diff_qdesc_file_all_recent,diff,desc,file,all,0.44886214195321444,0.7078710317460317,0.645,0.20251656221574024,0.4633333333333334,0.41984818305727906,0.324,0.4742706632310563,0.193,0.5578282816128528
bge-small,recent,diff_qcomments_file_all_recent,diff,comments,file,all,0.4495331290152851,0.7094880952380953,0.65,0.2025641812633593,0.46166666666666667,0.4147350878191838,0.327,0.47556848753319103,0.196,0.5630187578033291
bge-small,recent,diff_qtitle_module_all_recent,diff,title,module,all,0.5413244708994709,0.5876230158730158,0.34,0.11383333333333333,0.38666666666666666,0.39724999999999994,0.425,0.7266666666666666,0.29,0.9854166666666667
bge-small,recent,diff_qdesc_module_all_recent,diff,desc,module,all,0.6394017857142856,0.7541626984126983,0.615,0.20508333333333334,0.4933333333333333,0.50475,0.44,0.7533333333333333,0.2875,0.9785833333333334
bge-small,recent,diff_qcomments_module_all_recent,diff,comments,module,all,0.6357556216931218,0.7496071428571429,0.61,0.20383333333333334,0.495,0.5068333333333334,0.43799999999999994,0.7433333333333333,0.2875,0.9783333333333333
bge-small,modn,title_qtitle_file_w100_modn,title,title,file,w100,0.05116573679222933,0.12101984126984126,0.085,0.022979211087420043,0.06833333333333332,0.05514984600805496,0.047,0.06521239042880833,0.028999999999999998,0.07929572376214167
bge-small,modn,title_qdesc_file_w100_modn,title,desc,file,w100,0.03987341648026616,0.10303968253968254,0.07,0.016590322198531154,0.05333333333333333,0.04318556029376925,0.039,0.054367152333570236,0.028000000000000004,0.07182061553703345
bge-small,modn,title_qcomments_file_w100_modn,title,comments,file,w100,0.040263414407297665,0.10078968253968254,0.065,0.017297619047619048,0.05166666666666666,0.04292063492063492,0.038000000000000006,0.05600396825396824,0.027999999999999997,0.07238902349723246
bge-small,modn,title_qtitle_module_w100_modn,title,title,module,w100,0.7925444444444445,0.8826785714285714,0.82,0.28808333333333336,0.63,0.6645,0.524,0.9095833333333334,0.27499999999999997,0.9556666666666667
bge-small,modn,title_qdesc_module_w100_modn,title,desc,module,w100,0.7891678571428571,0.8879365079365078,0.83,0.30058333333333337,0.62,0.6585,0.517,0.8991666666666666,0.2749999999999999,0.9556666666666667
bge-small,modn,title_qcomments_module_w100_modn,title,comments,module,w100,0.7871222222222223,0.8830555555555557,0.82,0.29350000000000004,0.6283333333333334,0.6669999999999999,0.519,0.9020833333333335,0.275,0.9556666666666667
bge-small,modn,desc_qtitle_file_w100_modn,desc,title,file,w100,0.054222313229607584,0.1477440476190476,0.11,0.027907782515991467,0.06999999999999999,0.055336353944562905,0.053,0.07391968727789623,0.0345,0.08740628425428111
bge-small,modn,desc_qdesc_file_w100_modn,desc,desc,file,w100,0.042672527622914076,0.11247619047619048,0.065,0.01464587775408671,0.056666666666666664,0.041233179341388294,0.047,0.06248317934138829,0.0335,0.0857264596928776
bge-small,modn,desc_qcomments_file_w100_modn,desc,comments,file,w100,0.046013665753124704,0.12793650793650793,0.07,0.015623015873015874,0.06833333333333333,0.052030798389007336,0.054000000000000006,0.06867667614309406,0.035,0.0882264596928776
bge-small,modn,desc_qtitle_module_w100_modn,desc,title,module,w100,0.7788593253968252,0.8846309523809524,0.825,0.29308333333333336,0.6350000000000001,0.67325,0.509,0.8841666666666668,0.27499999999999997,0.9556666666666667
bge-small,modn,desc_qdesc_module_w100_modn,desc,desc,module,w100,0.7854059523809523,0.8978055555555555,0.85,0.31266666666666665,0.6300000000000001,0.6701666666666667,0.5219999999999999,0.9066666666666667,0.27499999999999997,0.9556666666666667
bge-small,modn,desc_qcomments_module_w100_modn,desc,comments,module,w100,0.7812944444444443,0.8953055555555555,0.845,0.311,0.6283333333333334,0.6685,0.525,0.9108333333333334,0.275,0.9556666666666667
bge-small,modn,diff_qtitle_file_w100_modn,diff,title,file,w100,0.06085144375241587,0.13861706349206349,0.115,0.0342411158493248,0.06666666666666667,0.057364131722340665,0.049,0.07111413172234067,0.0305,0.08922252771231562
bge-small,modn,diff_qdesc_file_w100_modn,diff,desc,file,w100,0.05999920924750279,0.16196825396825396,0.12,0.03220540156361052,0.06999999999999999,0.05841175076995972,0.054000000000000006,0.07334032219853115,0.0395,0.10653205152183942
bge-small,modn,diff_qcomments_file_w100_modn,diff,comments,file,w100,0.05906437117877612,0.1549484126984127,0.105,0.030226190476190476,0.07,0.05828571428571428,0.05799999999999999,0.0783958777540867,0.0415,0.10460744834723626
bge-small,modn,diff_qtitle_module_w100_modn,diff,title,module,w100,0.7889117063492063,0.8645416666666667,0.785,0.29000000000000004,0.6533333333333334,0.7033333333333335,0.528,0.9147500000000001,0.27499999999999997,0.9556666666666667
bge-small,modn,diff_qdesc_module_w100_modn,diff,desc,module,w100,0.7479894841269842,0.8319583333333332,0.73,0.26658333333333334,0.6166666666666667,0.6534166666666666,0.49399999999999994,0.8569166666666667,0.27499999999999997,0.9556666666666667
bge-small,modn,diff_qcomments_module_w100_modn,diff,comments,module,w100,0.7426353174603173,0.8275416666666666,0.725,0.26216666666666666,0.6166666666666667,0.6521666666666667,0.494,0.8594166666666666,0.275,0.9556666666666667
bge-small,modn,title_qtitle_file_w1000_modn,title,title,file,w1000,0.17834421264887684,0.28922619047619047,0.235,0.08842857142857141,0.18333333333333332,0.182447465055674,0.126,0.2008305819387909,0.0725,0.2272740787404966
bge-small,modn,title_qdesc_file_w1000_modn,title,desc,file,w1000,0.12344186691260252,0.1892738095238095,0.15,0.058499999999999996,0.11,0.12209825870646766,0.08199999999999999,0.14305460791281685,0.055999999999999994,0.18359334280976072
bge-small,modn,title_qcomments_file_w1000_modn,title,comments,file,w1000,0.12122222617073364,0.187890873015873,0.145,0.056166666666666656,0.11166666666666664,0.12243159203980099,0.085,0.14570048566690358,0.055,0.18567667614309402
bge-small,modn,title_qtitle_module_w1000_modn,title,title,module,w1000,0.7560482142857142,0.860936507936508,0.785,0.27016666666666667,0.6166666666666667,0.6444999999999999,0.484,0.8439166666666665,0.27499999999999997,0.9556666666666667
bge-small,modn,title_qdesc_module_w1000_modn,title,desc,module,w1000,0.7700952380952382,0.8786388888888887,0.815,0.29916666666666664,0.605,0.6360833333333333,0.48700000000000004,0.8466666666666666,0.275,0.9556666666666667
bge-small,modn,title_qcomments_module_w1000_modn,title,comments,module,w1000,0.7752932539682539,0.8857222222222222,0.83,0.305,0.6099999999999999,0.6420833333333335,0.489,0.8454166666666667,0.275,0.9556666666666667
bge-small,modn,desc_qtitle_file_w1000_modn,desc,title,file,w1000,0.17459572326857775,0.30869246031746034,0.265,0.09089285714285714,0.17166666666666663,0.16295238095238093,0.128,0.1993720682302772,0.078,0.23139889836531627
