,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
282,282,[gte-small-zh](https://huggingface.co/thenlper/gte-small-zh),⚠️ NA,58.0,0.03,1024.0,512.0,,,,47.0,,,,48.95,65.39,61.65,76.51
283,284,[MiniCPM-Embedding](https://huggingface.co/openbmb/MiniCPM-Embedding),⚠️ NA,5197.0,2.725,2304.0,512.0,,,,,,,,,,65.09,
284,285,[ruri-v3-310m](https://huggingface.co/cl-nagoya/ruri-v3-310m),99%,1200.0,0.315,768.0,8192.0,,,,76.4,49.56,,,,,,77.97
285,286,[atles-champion-embedding](https://huggingface.co/spartan8806/atles-champion-embedding),99%,420.0,0.109,768.0,512.0,,,,,,,,,,,74.03
286,287,[stella-mrl-large-zh-v3.5-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),100%,1242.0,0.326,1792.0,512.0,,,,52.48,,,,,66.43,81.87,82.96
287,287,[piccolo-large-zh-v2](https://huggingface.co/sensenova/piccolo-large-zh-v2),⚠️ NA,,,1024.0,512.0,,,,77.71,,,,,67.15,86.78,78.71
288,289,[ruri-large](https://huggingface.co/cl-nagoya/ruri-large),⚠️ NA,644.0,0.337,1024.0,512.0,,,,74.25,42.86,,,,,,82.66
289,290,[rubert-mini-frida](https://huggingface.co/sergeyzh/rubert-mini-frida),100%,123.0,0.032,312.0,2048.0,,,,64.66,,,57.04,60.36,71.12,,
290,291,[ruri-large-v2](https://huggingface.co/cl-nagoya/ruri-large-v2),⚠️ NA,1287.0,0.337,1024.0,512.0,,,,73.75,41.85,,,,,,82.63
291,292,[sarashina-embedding-v1-1b](https://huggingface.co/sbintuitions/sarashina-embedding-v1-1b),100%,4669.0,1.224,1792.0,8192.0,,,,75.39,43.54,,,,,,79.54
