model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,modn,desc_qdesc_module_w1000_modn,desc,desc,module,w1000,0.3505555555555555,0.39686706349206347,0.185,0.13558333333333333,0.215,0.48008333333333325,0.17400000000000002,0.6323333333333333,0.109,0.7614166666666666
bge-small,modn,desc_qcomments_module_w1000_modn,desc,comments,module,w1000,0.36514533730158727,0.4186170634920635,0.205,0.13991666666666666,0.23,0.5029166666666667,0.177,0.6395833333333334,0.10850000000000001,0.7576666666666667
bge-small,modn,diff_qtitle_file_w1000_modn,diff,title,file,w1000,0.021309648839590776,0.04446428571428571,0.035,0.014188785134880214,0.016666666666666666,0.01868878513488021,0.017,0.02408914745372079,0.013500000000000002,0.03562002361161307
bge-small,modn,diff_qdesc_file_w1000_modn,diff,desc,file,w1000,0.023524222916554125,0.048023809523809524,0.025,0.011263157894736841,0.025,0.026112924975482184,0.024000000000000004,0.032340163329989145,0.0175,0.04301602913085494
bge-small,modn,diff_qcomments_file_w1000_modn,diff,comments,file,w1000,0.02875673852646635,0.052436507936507934,0.035,0.02126315789473684,0.026666666666666665,0.02665205689619305,0.024,0.032616137355963165,0.0165,0.036483291035616844
bge-small,modn,diff_qtitle_module_w1000_modn,diff,title,module,w1000,0.30949107142857146,0.36204365079365075,0.13,0.08474999999999999,0.205,0.44275,0.17600000000000002,0.6302499999999999,0.10850000000000001,0.7601666666666667
bge-small,modn,diff_qdesc_module_w1000_modn,diff,desc,module,w1000,0.397072585978836,0.45605158730158735,0.225,0.15266666666666664,0.26166666666666666,0.5775833333333333,0.18600000000000003,0.6669166666666666,0.1105,0.7685
bge-small,modn,diff_qcomments_module_w1000_modn,diff,comments,module,w1000,0.40328766534391536,0.4686686507936508,0.23,0.15075,0.275,0.5985833333333334,0.187,0.6675,0.1105,0.7678333333333334
bge-small,modn,title_qtitle_file_all_modn,title,title,file,all,0.16662411700390833,0.364172619047619,0.315,0.07257833942781362,0.2433333333333333,0.14931409625267844,0.19299999999999998,0.18315129569350652,0.14100000000000001,0.223423924748992
bge-small,modn,title_qdesc_file_all_modn,title,desc,file,all,0.16418862766241357,0.3692003968253968,0.315,0.08289134433722811,0.23666666666666664,0.14328305550255707,0.196,0.17288632952341337,0.1435,0.22128599745340868
bge-small,modn,title_qcomments_file_all_modn,title,comments,file,all,0.16591568643507354,0.3557757936507936,0.295,0.0825803063255322,0.23166666666666663,0.14990421552249658,0.18299999999999997,0.1753560553294187,0.14150000000000001,0.22202082733599748
bge-small,modn,title_qtitle_module_all_modn,title,title,module,all,0.16387883597883598,0.20477777777777775,0.07,0.035,0.07333333333333333,0.132,0.077,0.2321666666666667,0.09449999999999999,0.5985833333333334
bge-small,modn,title_qdesc_module_all_modn,title,desc,module,all,0.253704332010582,0.29948015873015876,0.145,0.08208333333333333,0.12833333333333333,0.24175000000000002,0.12,0.39108333333333334,0.1125,0.7275833333333332
bge-small,modn,title_qcomments_module_all_modn,title,comments,module,all,0.25617294973544974,0.3010555555555555,0.15,0.08541666666666665,0.12333333333333332,0.22325,0.12100000000000001,0.3894166666666667,0.11600000000000002,0.7423333333333333
bge-small,modn,desc_qtitle_file_all_modn,desc,title,file,all,0.1424633792477579,0.3245099206349207,0.28,0.06694816741584814,0.21666666666666665,0.1271037562495176,0.168,0.15034249496991425,0.1285,0.2013252080942013
bge-small,modn,desc_qdesc_file_all_modn,desc,desc,file,all,0.1749837847266473,0.38536706349206346,0.33,0.10176091378156393,0.2333333333333333,0.15137276468318475,0.18700000000000003,0.1825947674264442,0.139,0.23270846760190694
bge-small,modn,desc_qcomments_file_all_modn,desc,comments,file,all,0.17326697597474705,0.35226190476190483,0.29,0.09151082408081632,0.225,0.15102763483819323,0.184,0.1841756323205831,0.1365,0.23504151761496567
bge-small,modn,desc_qtitle_module_all_modn,desc,title,module,all,0.13835337301587303,0.18403174603174602,0.075,0.03458333333333333,0.07666666666666666,0.136,0.07,0.20258333333333334,0.08100000000000002,0.49316666666666664
bge-small,modn,desc_qdesc_module_all_modn,desc,desc,module,all,0.22787166005291007,0.2765972222222222,0.14,0.07291666666666667,0.12333333333333332,0.22575000000000003,0.113,0.354,0.1025,0.6427499999999999
bge-small,modn,desc_qcomments_module_all_modn,desc,comments,module,all,0.23129298941798943,0.28210317460317463,0.14,0.07625,0.12499999999999999,0.21825,0.11399999999999999,0.34858333333333336,0.10300000000000001,0.6531666666666667
bge-small,modn,diff_qtitle_file_all_modn,diff,title,file,all,0.15958361010446587,0.3391448412698413,0.295,0.08906812133419371,0.20666666666666664,0.1418990196514443,0.16699999999999998,0.16871384881534168,0.11899999999999998,0.21206581902808203
bge-small,modn,diff_qdesc_file_all_modn,diff,desc,file,all,0.1502671217106139,0.3236448412698412,0.275,0.08894989623699205,0.20666666666666664,0.13042388909574698,0.166,0.1531520868849695,0.12250000000000001,0.1927499227024518
bge-small,modn,diff_qcomments_file_all_modn,diff,comments,file,all,0.14805409535330466,0.32678373015873013,0.27,0.09054241921109397,0.2,0.1315018152361731,0.156,0.1629863262824829,0.11500000000000002,0.20035125204886778
bge-small,modn,diff_qtitle_module_all_modn,diff,title,module,all,0.2540534060846561,0.2851765873015873,0.1,0.06458333333333333,0.11333333333333333,0.21825,0.136,0.48108333333333336,0.1165,0.7792500000000001
bge-small,modn,diff_qdesc_module_all_modn,diff,desc,module,all,0.36732361111111117,0.3971071428571429,0.165,0.1125,0.2,0.4236666666666666,0.18600000000000003,0.6448333333333334,0.134,0.8799166666666668
bge-small,modn,diff_qcomments_module_all_modn,diff,comments,module,all,0.37802962962962966,0.4166587301587302,0.18,0.1225,0.21333333333333332,0.4488333333333333,0.19,0.66175,0.13300000000000003,0.8784166666666667
