model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,modn,diff_qtitle_file_w1000_modn,diff,title,file,w1000,0.03601041692875026,0.06600595238095237,0.05,0.0161509324009324,0.039999999999999994,0.035431152181152184,0.033,0.04169875124875125,0.0245,0.053720174270174274
bge-small,modn,diff_qdesc_file_w1000_modn,diff,desc,file,w1000,0.04297626861725699,0.09594444444444444,0.08,0.027360285063773436,0.04833333333333333,0.04155320325669162,0.037000000000000005,0.045201887905376284,0.0275,0.054975988804477176
bge-small,modn,diff_qcomments_file_w1000_modn,diff,comments,file,w1000,0.04159265006023618,0.09940873015873017,0.085,0.02750314220663058,0.04333333333333333,0.03567301400150238,0.034,0.04141159924666657,0.03,0.054034163086335664
bge-small,modn,diff_qtitle_module_w1000_modn,diff,title,module,w1000,0.3650201344951345,0.4446984126984127,0.27,0.1956901709401709,0.205,0.40998717948717955,0.17099999999999999,0.5443818958818959,0.11850000000000001,0.6979357031857032
bge-small,modn,diff_qdesc_module_w1000_modn,diff,desc,module,w1000,0.42404507853257845,0.5087321428571429,0.34,0.24200961538461538,0.245,0.49522329059829057,0.188,0.5836500582750582,0.12650000000000003,0.7293940365190366
bge-small,modn,diff_qcomments_module_w1000_modn,diff,comments,module,w1000,0.4603939347689348,0.5437936507936508,0.395,0.290926282051282,0.25666666666666665,0.5110945027195027,0.19799999999999998,0.6111937645687645,0.1255,0.726189491064491
bge-small,modn,title_qtitle_file_all_modn,title,title,file,all,0.2563509631427485,0.49513888888888885,0.445,0.11168778019316869,0.3383333333333334,0.1924624870854195,0.29600000000000004,0.2595790377156402,0.22149999999999997,0.32858224021377713
bge-small,modn,title_qdesc_file_all_modn,title,desc,file,all,0.23995459855818335,0.44855555555555554,0.405,0.10219659915198764,0.31666666666666665,0.17977748056515772,0.274,0.23665446072085508,0.20800000000000002,0.3114048316761446
bge-small,modn,title_qcomments_file_all_modn,title,comments,file,all,0.25381794590478585,0.4889503968253968,0.44,0.1053483993037878,0.3483333333333333,0.19703425523106588,0.294,0.25031255979024447,0.22200000000000003,0.33036605008734504
bge-small,modn,title_qtitle_module_all_modn,title,title,module,all,0.29689579217079215,0.3763551587301587,0.245,0.16675,0.16,0.3278846153846154,0.127,0.41814471639471634,0.0895,0.5589058857808857
bge-small,modn,title_qdesc_module_all_modn,title,desc,module,all,0.3508931797369297,0.44933531746031746,0.31,0.21318055555555557,0.19666666666666666,0.40760683760683764,0.153,0.4951361693861694,0.10300000000000001,0.6252071678321678
bge-small,modn,title_qcomments_module_all_modn,title,comments,module,all,0.39805446636696634,0.5045198412698413,0.35,0.2358472222222222,0.225,0.44777350427350426,0.174,0.5637649572649572,0.11500000000000002,0.6998872377622376
bge-small,modn,desc_qtitle_file_all_modn,desc,title,file,all,0.21689871963371973,0.42912896825396823,0.38,0.08775469449579727,0.31666666666666665,0.1786233908466992,0.259,0.20596986055037447,0.196,0.28276454708853527
bge-small,modn,desc_qdesc_file_all_modn,desc,desc,file,all,0.2565317769286158,0.49725,0.44,0.10232849145108122,0.36,0.20772677713258997,0.311,0.2683618615844351,0.22950000000000004,0.3394768579654716
bge-small,modn,desc_qcomments_file_all_modn,desc,comments,file,all,0.25554135900780733,0.5115515873015872,0.45,0.09968715784388117,0.36,0.18873422192672545,0.32400000000000007,0.2595388262141114,0.24600000000000002,0.34858888983544944
bge-small,modn,desc_qtitle_module_all_modn,desc,title,module,all,0.2262885989010989,0.2981170634920635,0.16,0.09533333333333333,0.12999999999999998,0.2606346153846154,0.113,0.3640891608391608,0.085,0.525513209013209
bge-small,modn,desc_qdesc_module_all_modn,desc,desc,module,all,0.33161830993081,0.43261507936507937,0.3,0.19334722222222223,0.19333333333333333,0.3703846153846154,0.15,0.47239044289044285,0.10400000000000001,0.6255826534576534
bge-small,modn,desc_qcomments_module_all_modn,desc,comments,module,all,0.40171625885688383,0.5201448412698413,0.405,0.2687638888888889,0.22333333333333333,0.4282179487179487,0.16899999999999998,0.5313071095571096,0.1115,0.6773230380730381
bge-small,modn,diff_qtitle_file_all_modn,diff,title,file,all,0.2546949210733765,0.5076924603174603,0.46,0.11615302615410432,0.35166666666666674,0.20202459380282825,0.3,0.2542728672323934,0.22750000000000004,0.33941618022285425
bge-small,modn,diff_qdesc_file_all_modn,diff,desc,file,all,0.30737478832626125,0.5640892857142857,0.51,0.1390939200555245,0.3783333333333333,0.25303698869068214,0.316,0.30710506920743064,0.243,0.4033636146209233
bge-small,modn,diff_qcomments_file_all_modn,diff,comments,file,all,0.2946353568677339,0.5477321428571428,0.48,0.12212678911903875,0.39,0.23034576803041168,0.32800000000000007,0.2894137332440494,0.2575,0.3958329654846134
bge-small,modn,diff_qtitle_module_all_modn,diff,title,module,all,0.3866853257853258,0.476561507936508,0.315,0.22758916083916084,0.22666666666666666,0.45052602952602955,0.172,0.5478790792540792,0.113,0.6831167443667444
bge-small,modn,diff_qdesc_module_all_modn,diff,desc,module,all,0.42772175740925744,0.5224404761904762,0.37,0.25755176767676763,0.24666666666666665,0.501220473970474,0.18800000000000006,0.6064207459207459,0.12000000000000002,0.7143667443667444
bge-small,modn,diff_qcomments_module_all_modn,diff,comments,module,all,0.4491908587554421,0.5510833333333334,0.41,0.27793055555555557,0.26,0.5194401709401709,0.18600000000000003,0.596051282051282,0.1215,0.7367589355089355
