model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_qcomments_file_all_recent,title,comments,file,all,0.1471988945729165,0.25677579365079367,0.19,0.08027303704749357,0.14166666666666666,0.14105672782201187,0.11199999999999999,0.1717266803051089,0.08100000000000002,0.21952806366719366
bge-small,recent,title_qtitle_module_all_recent,title,title,module,all,0.4467916666666666,0.4952440476190476,0.26,0.1985,0.23166666666666663,0.47883333333333333,0.20200000000000004,0.67525,0.15900000000000003,0.9499166666666667
bge-small,recent,title_qdesc_module_all_recent,title,desc,module,all,0.43971736111111115,0.48910714285714285,0.26,0.17850000000000002,0.23166666666666663,0.46449999999999997,0.21100000000000002,0.6676666666666666,0.163,0.9700833333333333
bge-small,recent,title_qcomments_module_all_recent,title,comments,module,all,0.4427072420634921,0.4843928571428572,0.255,0.17850000000000002,0.23333333333333336,0.4711666666666666,0.21300000000000005,0.6725,0.16450000000000004,0.9755000000000001
bge-small,recent,desc_qtitle_file_all_recent,desc,title,file,all,0.24172777194828654,0.4261170634920635,0.36,0.13168697224084053,0.25166666666666665,0.21834063244393562,0.203,0.26360062711464943,0.14550000000000002,0.3408864715676294
bge-small,recent,desc_qdesc_file_all_recent,desc,desc,file,all,0.17019151702821425,0.3203234126984127,0.275,0.09724392985437708,0.18333333333333332,0.17069402315481808,0.135,0.1949865535658452,0.098,0.250566065848627
bge-small,recent,desc_qcomments_file_all_recent,desc,comments,file,all,0.15700823050669868,0.3049265873015873,0.255,0.08641059652104374,0.18166666666666664,0.16014059288943128,0.135,0.18295184310722173,0.09350000000000001,0.23521860381409404
bge-small,recent,desc_qtitle_module_all_recent,desc,title,module,all,0.47620042989418,0.5193531746031746,0.31,0.23416666666666663,0.24166666666666664,0.4800833333333333,0.221,0.70875,0.16,0.95675
bge-small,recent,desc_qdesc_module_all_recent,desc,desc,module,all,0.45627195767195766,0.5029146825396825,0.265,0.17825,0.24,0.47174999999999995,0.22300000000000003,0.7039166666666666,0.1675,0.9896666666666667
bge-small,recent,desc_qcomments_module_all_recent,desc,comments,module,all,0.4586684523809524,0.5053730158730159,0.26,0.17808333333333334,0.255,0.49983333333333335,0.22800000000000004,0.7197499999999999,0.166,0.9821666666666666
bge-small,recent,diff_qtitle_file_all_recent,diff,title,file,all,0.21152944588080286,0.4051369047619048,0.34,0.1144197292422822,0.23333333333333336,0.20623994364281384,0.188,0.24379748813015376,0.133,0.2985890113389186
bge-small,recent,diff_qdesc_file_all_recent,diff,desc,file,all,0.1797959646857359,0.3244742063492063,0.255,0.08237642846687238,0.185,0.15178772860914763,0.16,0.22672320135301482,0.1225,0.30699312219285757
bge-small,recent,diff_qcomments_file_all_recent,diff,comments,file,all,0.18768708566597542,0.33798611111111115,0.26,0.08159071418115808,0.19833333333333333,0.1620173232898293,0.169,0.2376369230178235,0.1295,0.3183290724363593
bge-small,recent,diff_qtitle_module_all_recent,diff,title,module,all,0.49566365740740737,0.5442361111111111,0.3,0.21325,0.285,0.5588333333333333,0.23,0.72875,0.1625,0.9655
bge-small,recent,diff_qdesc_module_all_recent,diff,desc,module,all,0.4646857142857142,0.5265714285714286,0.27,0.1740833333333333,0.28833333333333333,0.5363333333333332,0.23700000000000002,0.7086666666666666,0.163,0.9563333333333334
bge-small,recent,diff_qcomments_module_all_recent,diff,comments,module,all,0.4711869047619048,0.5263928571428571,0.27,0.17475,0.28833333333333333,0.5355,0.24400000000000002,0.7339166666666667,0.16400000000000003,0.9613333333333333
bge-small,modn,title_qtitle_file_w100_modn,title,title,file,w100,0.024456636521797817,0.07218650793650794,0.04,0.006682288725766985,0.03833333333333333,0.015415793998038003,0.04100000000000001,0.032338528253030324,0.0255,0.04398138539588747
bge-small,modn,title_qdesc_file_w100_modn,title,desc,file,w100,0.01538354007866473,0.06845039682539683,0.05,0.006547143643641213,0.03166666666666666,0.011977814406570041,0.028999999999999998,0.018571536335569346,0.020499999999999997,0.028138548624355827
bge-small,modn,title_qcomments_file_w100_modn,title,comments,file,w100,0.01515900304162769,0.06768650793650793,0.05,0.006547143643641214,0.03166666666666666,0.01297781440657004,0.029000000000000005,0.018571536335569346,0.019,0.025180215291022493
bge-small,modn,title_qtitle_module_w100_modn,title,title,module,w100,0.5830892857142856,0.6630119047619047,0.465,0.25525,0.38,0.6406666666666666,0.306,0.82375,0.17800000000000005,0.9496666666666667
bge-small,modn,title_qdesc_module_w100_modn,title,desc,module,w100,0.5829460317460317,0.6446785714285714,0.425,0.24050000000000002,0.3783333333333333,0.6610833333333334,0.311,0.8391666666666666,0.17800000000000005,0.9496666666666667
bge-small,modn,title_qcomments_module_w100_modn,title,comments,module,w100,0.5895686507936507,0.6469285714285714,0.425,0.24158333333333332,0.3883333333333333,0.67625,0.316,0.8505833333333334,0.17800000000000005,0.9496666666666667
