model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,modn,desc_qtitle_file_w100_modn,desc,title,file,w100,0.006469047619047619,0.01425,0.01,0.0020238095238095236,0.006666666666666666,0.00869047619047619,0.005,0.009404761904761904,0.0030000000000000005,0.010404761904761906
bge-small,modn,desc_qdesc_file_w100_modn,desc,desc,file,w100,0.010497676466072638,0.029333333333333333,0.02,0.0070714285714285705,0.011666666666666665,0.01380658838878017,0.01,0.01685787044006222,0.006999999999999999,0.017223387205143888
bge-small,modn,desc_qcomments_file_w100_modn,desc,comments,file,w100,0.01586895283049969,0.036083333333333335,0.03,0.013738095238095237,0.011666666666666665,0.015404761904761904,0.01,0.01685787044006222,0.008,0.017858307840064525
bge-small,modn,desc_qtitle_module_w100_modn,desc,title,module,w100,0.5275248015873015,0.5466547619047618,0.335,0.284422619047619,0.295,0.7139345238095237,0.195,0.7548154761904761,0.1105,0.8363630952380953
bge-small,modn,desc_qdesc_module_w100_modn,desc,desc,module,w100,0.5744665532879819,0.6114940476190476,0.445,0.3673392857142857,0.29166666666666663,0.7057202380952381,0.196,0.7548154761904762,0.1105,0.8363630952380953
bge-small,modn,desc_qcomments_module_w100_modn,desc,comments,module,w100,0.5884348072562358,0.6311845238095237,0.48,0.3910892857142857,0.29,0.7032202380952381,0.19700000000000004,0.7602321428571429,0.1105,0.8363630952380953
bge-small,modn,diff_qtitle_file_w100_modn,diff,title,file,w100,0.006155826910020368,0.018083333333333333,0.01,0.0023809523809523807,0.008333333333333333,0.009404761904761904,0.006999999999999999,0.009711350293542073,0.005,0.010813391109868604
bge-small,modn,diff_qdesc_file_w100_modn,diff,desc,file,w100,0.005729453283646741,0.019547619047619046,0.01,0.0023809523809523807,0.008333333333333333,0.005404761904761904,0.008,0.006711350293542074,0.006000000000000001,0.012198006494483991
bge-small,modn,diff_qcomments_file_w100_modn,diff,comments,file,w100,0.009840564394757851,0.02283333333333333,0.015,0.00738095238095238,0.01,0.010404761904761903,0.008,0.011473255055446836,0.006000000000000001,0.012198006494483988
bge-small,modn,diff_qtitle_module_w100_modn,diff,title,module,w100,0.4854813988095238,0.5098035714285715,0.315,0.255672619047619,0.27499999999999997,0.6636845238095238,0.19700000000000004,0.761065476190476,0.1105,0.8363630952380953
bge-small,modn,diff_qdesc_module_w100_modn,diff,desc,module,w100,0.516172902494331,0.5383214285714285,0.33,0.2785892857142857,0.29333333333333333,0.7089345238095237,0.196,0.7608988095238095,0.1105,0.8363630952380953
bge-small,modn,diff_qcomments_module_w100_modn,diff,comments,module,w100,0.5004318310657596,0.5260059523809524,0.305,0.2473392857142857,0.29,0.6968511904761905,0.19700000000000004,0.7650654761904763,0.1105,0.8363630952380953
bge-small,modn,title_qtitle_file_w1000_modn,title,title,file,w1000,0.0442562520629839,0.07406944444444445,0.05,0.030197746697746695,0.04,0.04558473669187955,0.032,0.0503338209409638,0.025,0.06514742740414649
bge-small,modn,title_qdesc_file_w1000_modn,title,desc,file,w1000,0.03590269016545285,0.06568452380952382,0.045,0.02765785801500087,0.028333333333333332,0.032982588839731694,0.025,0.03786145879635181,0.018000000000000002,0.05622200301403888
