project,task_unit,model,split_strategy,experiment_id,train_source,query_source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
celery,cross,bge-small,recent,desc_qtitle_file_w100_recent,desc,title,file,w100,0.56711427154195,0.6006924603174604,0.545,0.4055892857142857,0.3233333333333333,0.5694603174603174,0.223,0.6062698412698413,0.1295,0.6499384920634921
celery,cross,bge-small,recent,desc_qdesc_file_w100_recent,desc,desc,file,w100,0.5685635582010582,0.6022559523809524,0.555,0.4122559523809523,0.3116666666666667,0.5693650793650794,0.221,0.6179603174603175,0.1255,0.6459305555555556
celery,cross,bge-small,recent,desc_qcomments_file_w100_recent,desc,comments,file,w100,0.4548629298941799,0.4903154761904761,0.43,0.32825,0.2416666666666666,0.4656388888888888,0.166,0.5127698412698414,0.0939999999999999,0.5842281746031746
celery,cross,bge-small,recent,desc_qtitle_module_w100_recent,desc,title,module,w100,0.7950335317460318,0.8155119047619048,0.71,0.52325,0.4349999999999999,0.8825,0.286,0.9471666666666668,0.1505,0.995
celery,cross,bge-small,recent,desc_qdesc_module_w100_recent,desc,desc,module,w100,0.7845238095238096,0.8045476190476191,0.69,0.5065833333333333,0.43,0.8645833333333335,0.285,0.9455,0.1505,0.995
celery,cross,bge-small,recent,desc_qcomments_module_w100_recent,desc,comments,module,w100,0.7340327380952381,0.7552500000000001,0.62,0.4424166666666666,0.4083333333333332,0.8258333333333333,0.286,0.9455,0.1505,0.995
celery,cross,bge-small,recent,title_qtitle_file_w100_recent,title,title,file,w100,0.5775688019652305,0.6082936507936507,0.57,0.4178809523809523,0.3266666666666666,0.5612936507936508,0.229,0.6028174603174603,0.129,0.6467936507936508
celery,cross,bge-small,recent,title_qdesc_file_w100_recent,title,desc,file,w100,0.5445016369047618,0.5782876984126983,0.525,0.382047619047619,0.3116666666666666,0.5504126984126984,0.214,0.5865079365079365,0.124,0.6347400793650793
celery,cross,bge-small,recent,title_qcomments_file_w100_recent,title,comments,file,w100,0.446850281084656,0.4984186507936508,0.42,0.3065833333333334,0.26,0.4799007936507937,0.171,0.511984126984127,0.0995,0.5927876984126983
celery,cross,bge-small,recent,title_qtitle_module_w100_recent,title,title,module,w100,0.7904523809523809,0.8072261904761905,0.695,0.5074166666666666,0.435,0.86875,0.283,0.9271666666666668,0.1505,0.995
celery,cross,bge-small,recent,title_qdesc_module_w100_recent,title,desc,module,w100,0.7598075396825397,0.7765595238095239,0.645,0.46325,0.43,0.8579166666666667,0.284,0.9313333333333332,0.1505,0.995
celery,cross,bge-small,recent,title_qcomments_module_w100_recent,title,comments,module,w100,0.7531636904761905,0.7757976190476189,0.645,0.4645,0.4133333333333333,0.84,0.286,0.943,0.1505,0.995
celery,cross,bge-small,recent,diff_qtitle_file_w100_recent,diff,title,file,w100,0.5585569090136054,0.6030337301587301,0.545,0.3800535714285714,0.3216666666666666,0.5591547619047619,0.231,0.6071150793650794,0.1315,0.6599305555555556
celery,cross,bge-small,recent,diff_qdesc_file_w100_recent,diff,desc,file,w100,0.5613852465986394,0.6002757936507936,0.54,0.3850257936507937,0.3183333333333333,0.5655853174603174,0.233,0.626609126984127,0.1315,0.6654444444444444
celery,cross,bge-small,recent,diff_qcomments_file_w100_recent,diff,comments,file,w100,0.5140800217309145,0.5600674603174602,0.505,0.3594007936507936,0.2866666666666666,0.5095436507936507,0.209,0.564061507936508,0.12,0.6072242063492063
celery,cross,bge-small,recent,diff_qtitle_module_w100_recent,diff,title,module,w100,0.8138936507936507,0.8303928571428572,0.74,0.5586666666666666,0.4249999999999999,0.8645833333333335,0.287,0.9405,0.1505,0.995
celery,cross,bge-small,recent,diff_qdesc_module_w100_recent,diff,desc,module,w100,0.8247349206349207,0.8449761904761905,0.76,0.5724166666666667,0.425,0.8679166666666667,0.288,0.9438333333333332,0.1505,0.995
celery,cross,bge-small,recent,diff_qcomments_module_w100_recent,diff,comments,module,w100,0.7468271825396826,0.7634642857142856,0.66,0.4799166666666666,0.3916666666666666,0.7583333333333334,0.286,0.9363333333333332,0.1505,0.995
celery,cross,bge-small,recent,title_qtitle_file_w1000_recent,title,title,file,w1000,0.5276172650541698,0.5910674603174604,0.515,0.3729642857142858,0.2666666666666666,0.5146369047619048,0.203,0.6005853174603175,0.134,0.6965079365079364
celery,cross,bge-small,recent,title_qdesc_file_w1000_recent,title,desc,file,w1000,0.5208703121063241,0.5873670634920635,0.515,0.3714365079365079,0.2716666666666666,0.5192063492063492,0.1939999999999999,0.581843253968254,0.131,0.6899503968253967
celery,cross,bge-small,recent,title_qcomments_file_w1000_recent,title,comments,file,w1000,0.4434340876165281,0.5086468253968254,0.42,0.3158888888888889,0.2266666666666666,0.4569444444444444,0.164,0.5353253968253968,0.105,0.6366349206349206
celery,cross,bge-small,recent,title_qtitle_module_w1000_recent,title,title,module,w1000,0.7877303571428572,0.814047619047619,0.695,0.5201666666666667,0.4133333333333333,0.8606666666666666,0.288,0.9682499999999998,0.151,1.0
celery,cross,bge-small,recent,title_qdesc_module_w1000_recent,title,desc,module,w1000,0.7716759920634921,0.792297619047619,0.65,0.4780833333333333,0.4216666666666666,0.8798333333333334,0.289,0.9715833333333334,0.151,1.0
celery,cross,bge-small,recent,title_qcomments_module_w1000_recent,title,comments,module,w1000,0.7221194444444444,0.7404166666666667,0.595,0.4268333333333334,0.3966666666666665,0.8119166666666666,0.278,0.917,0.151,1.0
celery,cross,bge-small,recent,desc_qtitle_file_w1000_recent,desc,title,file,w1000,0.5234543753149408,0.5977281746031746,0.52,0.3776865079365079,0.2816666666666666,0.516281746031746,0.208,0.6043829365079365,0.13,0.6725496031746032
celery,cross,bge-small,recent,desc_qdesc_file_w1000_recent,desc,desc,file,w1000,0.5326002905328798,0.6118769841269841,0.545,0.3854920634920635,0.2783333333333333,0.5185396825396825,0.207,0.5955714285714286,0.1335,0.6968253968253968
celery,cross,bge-small,recent,desc_qcomments_file_w1000_recent,desc,comments,file,w1000,0.4265825892857143,0.4964742063492063,0.405,0.2996111111111111,0.23,0.4545337301587302,0.162,0.5169642857142857,0.1,0.6057837301587302
celery,cross,bge-small,recent,desc_qtitle_module_w1000_recent,desc,title,module,w1000,0.7661430555555555,0.7959999999999999,0.67,0.4951666666666666,0.4066666666666667,0.8481666666666666,0.288,0.9682499999999998,0.151,1.0
celery,cross,bge-small,recent,desc_qdesc_module_w1000_recent,desc,desc,module,w1000,0.7459468253968253,0.7727142857142857,0.625,0.44325,0.4116666666666667,0.8531666666666666,0.288,0.96575,0.151,1.0
celery,cross,bge-small,recent,desc_qcomments_module_w1000_recent,desc,comments,module,w1000,0.6817156746031745,0.7027142857142857,0.55,0.3740833333333333,0.3866666666666666,0.7741666666666666,0.276,0.9024166666666668,0.151,1.0
celery,cross,bge-small,recent,diff_qtitle_file_w1000_recent,diff,title,file,w1000,0.5237342261904762,0.5918948412698413,0.505,0.370047619047619,0.2866666666666666,0.5178273809523809,0.22,0.6074067460317462,0.1305,0.6736805555555556
celery,cross,bge-small,recent,diff_qdesc_file_w1000_recent,diff,desc,file,w1000,0.5212183752204586,0.5862777777777778,0.5,0.3599007936507937,0.2866666666666667,0.514329365079365,0.219,0.6064583333333333,0.13,0.6756289682539683
celery,cross,bge-small,recent,diff_qcomments_file_w1000_recent,diff,comments,file,w1000,0.4149360008818342,0.4801587301587301,0.41,0.284234126984127,0.235,0.4129603174603174,0.183,0.4902559523809524,0.107,0.556670634920635
celery,cross,bge-small,recent,diff_qtitle_module_w1000_recent,diff,title,module,w1000,0.751646626984127,0.786125,0.64,0.4689166666666666,0.4133333333333333,0.8573333333333332,0.286,0.961,0.151,1.0
celery,cross,bge-small,recent,diff_qdesc_module_w1000_recent,diff,desc,module,w1000,0.7523494047619047,0.7819583333333333,0.63,0.4690833333333333,0.4233333333333333,0.8823333333333333,0.287,0.9611666666666666,0.151,1.0
celery,cross,bge-small,recent,diff_qcomments_module_w1000_recent,diff,comments,module,w1000,0.6901575396825398,0.711577380952381,0.55,0.4040833333333333,0.3866666666666666,0.78125,0.269,0.8751666666666668,0.151,1.0
celery,cross,bge-small,recent,title_qtitle_file_all_recent,title,title,file,all,0.4260388692050894,0.5281210317460318,0.44,0.3169226190476191,0.225,0.4221785714285714,0.172,0.5196349206349207,0.1065,0.5970138888888888
celery,cross,bge-small,recent,title_qdesc_file_all_recent,title,desc,file,all,0.3888425925925925,0.5002777777777778,0.415,0.2983809523809524,0.1966666666666666,0.3853234126984127,0.156,0.4797123015873015,0.098,0.554890873015873
celery,cross,bge-small,recent,title_qcomments_file_all_recent,title,comments,file,all,0.237744708994709,0.289234126984127,0.205,0.1676666666666666,0.1216666666666666,0.2480615079365079,0.0969999999999999,0.3194980158730158,0.061,0.3826706349206348
celery,cross,bge-small,recent,title_qtitle_module_all_recent,title,title,module,all,0.7025410714285715,0.7388511904761904,0.585,0.4361666666666666,0.3666666666666666,0.7752500000000001,0.263,0.8949166666666667,0.15,0.99775
celery,cross,bge-small,recent,title_qdesc_module_all_recent,title,desc,module,all,0.6890509920634921,0.7247380952380954,0.57,0.4209999999999999,0.3666666666666666,0.7833333333333333,0.26,0.8940833333333333,0.148,0.9860833333333332
celery,cross,bge-small,recent,title_qcomments_module_all_recent,title,comments,module,all,0.5590712301587302,0.5773988095238095,0.38,0.28225,0.2966666666666666,0.62275,0.243,0.8351666666666665,0.147,0.9835833333333334
celery,cross,bge-small,recent,desc_qtitle_file_all_recent,desc,title,file,all,0.3806258668745276,0.4548630952380952,0.365,0.2681448412698413,0.1866666666666666,0.3728730158730158,0.145,0.4380575396825397,0.1094999999999999,0.581015873015873
celery,cross,bge-small,recent,desc_qdesc_file_all_recent,desc,desc,file,all,0.4221988095238095,0.5212876984126984,0.435,0.2957420634920635,0.2283333333333333,0.4307678571428571,0.168,0.5013571428571428,0.1125,0.5855833333333333
celery,cross,bge-small,recent,desc_qcomments_file_all_recent,desc,comments,file,all,0.3158519557823129,0.3951785714285714,0.3,0.2131111111111111,0.1716666666666666,0.3344583333333332,0.132,0.4111369047619047,0.0805,0.4786071428571428
celery,cross,bge-small,recent,desc_qtitle_module_all_recent,desc,title,module,all,0.7018678571428572,0.741654761904762,0.59,0.4445,0.37,0.7773333333333333,0.256,0.8789166666666667,0.1495,0.99675
celery,cross,bge-small,recent,desc_qdesc_module_all_recent,desc,desc,module,all,0.6849293650793651,0.7256369047619049,0.565,0.41225,0.37,0.7816666666666667,0.26,0.8917499999999999,0.1475,0.9869166666666668
celery,cross,bge-small,recent,desc_qcomments_module_all_recent,desc,comments,module,all,0.5746505952380951,0.6009424603174603,0.4,0.2805833333333333,0.3266666666666667,0.6954166666666666,0.242,0.8392499999999999,0.147,0.98275
celery,cross,bge-small,recent,diff_qtitle_file_all_recent,diff,title,file,all,0.4096516140715545,0.5095753968253969,0.4,0.2691448412698413,0.25,0.4593571428571428,0.184,0.5258412698412698,0.11,0.5876726190476191
celery,cross,bge-small,recent,diff_qdesc_file_all_recent,diff,desc,file,all,0.4344039351851851,0.5266646825396826,0.425,0.3025198412698412,0.25,0.4668988095238095,0.179,0.5283849206349206,0.109,0.6049880952380953
celery,cross,bge-small,recent,diff_qcomments_file_all_recent,diff,comments,file,all,0.3249076436130008,0.3875496031746032,0.295,0.2337698412698412,0.18,0.3476488095238095,0.1289999999999999,0.3903849206349206,0.0819999999999999,0.4642380952380951
celery,cross,bge-small,recent,diff_qtitle_module_all_recent,diff,title,module,all,0.6839909722222223,0.7178749999999999,0.545,0.4243333333333334,0.3516666666666667,0.7494166666666666,0.268,0.9155833333333334,0.1485,0.98275
celery,cross,bge-small,recent,diff_qdesc_module_all_recent,diff,desc,module,all,0.6902126984126984,0.721220238095238,0.545,0.4293333333333333,0.35,0.759,0.267,0.9201666666666664,0.15,0.994
celery,cross,bge-small,recent,diff_qcomments_module_all_recent,diff,comments,module,all,0.5965012896825397,0.6267103174603175,0.46,0.352,0.3083333333333333,0.6415000000000001,0.228,0.7695833333333333,0.146,0.96025
celery,cross,bge-small,modn,title_qtitle_file_w100_modn,title,title,file,w100,0.1525278817082388,0.202406746031746,0.145,0.0896507936507936,0.0933333333333333,0.1486765873015872,0.074,0.195422619047619,0.0545,0.2692678571428571
celery,cross,bge-small,modn,title_qdesc_file_w100_modn,title,desc,file,w100,0.1399669690098261,0.1933293650793651,0.145,0.0817341269841269,0.0866666666666666,0.1307599206349206,0.074,0.1988154761904761,0.0504999999999999,0.2415178571428571
celery,cross,bge-small,modn,title_qcomments_file_w100_modn,title,comments,file,w100,0.1201011621315192,0.1689821428571428,0.125,0.0742341269841269,0.07,0.1121210317460317,0.06,0.1746210317460317,0.0435,0.2191011904761904
celery,cross,bge-small,modn,title_qtitle_module_w100_modn,title,title,module,w100,0.650944246031746,0.6615476190476189,0.445,0.3249166666666667,0.3783333333333333,0.80625,0.27,0.9355,0.1425,0.9725
celery,cross,bge-small,modn,title_qdesc_module_w100_modn,title,desc,module,w100,0.5931386904761905,0.600797619047619,0.35,0.2349166666666666,0.3666666666666667,0.7725,0.271,0.9434166666666668,0.1425,0.9725
celery,cross,bge-small,modn,title_qcomments_module_w100_modn,title,comments,module,w100,0.5633039682539682,0.574047619047619,0.31,0.1974166666666666,0.3583333333333333,0.7564166666666665,0.267,0.9255,0.1425,0.9725
celery,cross,bge-small,modn,desc_qtitle_file_w100_modn,desc,title,file,w100,0.1492649470899471,0.2050198412698412,0.145,0.086079365079365,0.0966666666666666,0.1574265873015873,0.074,0.1957162698412698,0.0515,0.2616369047619047
celery,cross,bge-small,modn,desc_qdesc_file_w100_modn,desc,desc,file,w100,0.1606930886243386,0.2229980158730158,0.17,0.0996805555555555,0.0966666666666666,0.1626527777777777,0.078,0.2103591269841269,0.0535,0.2653869047619047
celery,cross,bge-small,modn,desc_qcomments_file_w100_modn,desc,comments,file,w100,0.1442239858906525,0.1988571428571428,0.14,0.0910416666666666,0.0783333333333333,0.147875,0.065,0.1936091269841269,0.049,0.2571369047619047
celery,cross,bge-small,modn,desc_qtitle_module_w100_modn,desc,title,module,w100,0.7278757936507936,0.7511309523809524,0.595,0.4436666666666666,0.3933333333333333,0.84875,0.2710000000000001,0.9434166666666668,0.1425,0.9725
celery,cross,bge-small,modn,desc_qdesc_module_w100_modn,desc,desc,module,w100,0.7147289682539681,0.7308809523809523,0.56,0.4153333333333333,0.4083333333333332,0.8729166666666666,0.275,0.95425,0.1425,0.9725
celery,cross,bge-small,modn,desc_qcomments_module_w100_modn,desc,comments,module,w100,0.7096730158730158,0.7277142857142858,0.565,0.417,0.4066666666666667,0.8580833333333334,0.273,0.94425,0.1425,0.9725
celery,cross,bge-small,modn,diff_qtitle_file_w100_modn,diff,title,file,w100,0.1541740079365079,0.2067341269841269,0.155,0.0948888888888888,0.1016666666666666,0.1595099206349206,0.075,0.1912519841269841,0.049,0.2440297619047619
celery,cross,bge-small,modn,diff_qdesc_file_w100_modn,diff,desc,file,w100,0.1638859788359788,0.221984126984127,0.165,0.1000972222222222,0.105,0.1645099206349206,0.081,0.2137519841269841,0.0544999999999999,0.2687440476190476
celery,cross,bge-small,modn,diff_qcomments_file_w100_modn,diff,comments,file,w100,0.1565407407407407,0.2127400793650793,0.16,0.1013472222222222,0.1033333333333333,0.1650654761904762,0.074,0.1985853174603174,0.0475,0.2418273809523809
celery,cross,bge-small,modn,diff_qtitle_module_w100_modn,diff,title,module,w100,0.6801184523809525,0.7015833333333333,0.515,0.3707499999999999,0.3816666666666667,0.8135000000000001,0.273,0.9525833333333332,0.1425,0.9725
celery,cross,bge-small,modn,diff_qdesc_module_w100_modn,diff,desc,module,w100,0.70557123015873,0.7279999999999999,0.57,0.4332499999999999,0.385,0.8172499999999999,0.272,0.9446666666666668,0.1425,0.9725
celery,cross,bge-small,modn,diff_qcomments_module_w100_modn,diff,comments,module,w100,0.680860515873016,0.6972976190476191,0.53,0.40075,0.3733333333333333,0.7872499999999999,0.277,0.9510833333333332,0.1425,0.9725
