project,task_unit,model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
agilebill,commit,bge-small,recent,title_file_w100_recent,title,file,w100,0.0850694444444444,0.0861111111111111,0.05,0.025,0.0666666666666666,0.1,0.04,0.1,0.03,0.153125
agilebill,commit,bge-small,recent,desc_file_w100_recent,desc,file,w100,0.063125,0.0849999999999999,0.05,0.025,0.05,0.075,0.04,0.078125,0.02,0.078125
agilebill,commit,bge-small,recent,diff_file_w100_recent,diff,file,w100,0.0882246376811594,0.125,0.05,0.025,0.0833333333333333,0.1271739130434782,0.05,0.1271739130434782,0.03,0.1771739130434782
agilebill,commit,bge-small,recent,title_file_all_recent,title,file,all,0.0850694444444444,0.0861111111111111,0.05,0.025,0.0666666666666666,0.1,0.04,0.1,0.03,0.153125
agilebill,commit,bge-small,recent,desc_file_all_recent,desc,file,all,0.063125,0.0849999999999999,0.05,0.025,0.05,0.075,0.04,0.078125,0.02,0.078125
agilebill,commit,bge-small,recent,diff_file_all_recent,diff,file,all,0.0882246376811594,0.125,0.05,0.025,0.0833333333333333,0.1271739130434782,0.05,0.1271739130434782,0.03,0.1771739130434782
agilebill,commit,bge-small,recent,title_module_w100_recent,title,module,w100,0.53375,0.5491666666666666,0.3,0.25,0.2666666666666666,0.7,0.2,0.85,0.12,1.0
agilebill,commit,bge-small,recent,desc_module_w100_recent,desc,module,w100,0.5588095238095238,0.5725,0.35,0.3,0.2833333333333332,0.725,0.19,0.8,0.12,1.0
agilebill,commit,bge-small,recent,diff_module_w100_recent,diff,module,w100,0.5563095238095237,0.5824999999999999,0.4,0.325,0.2666666666666666,0.675,0.2,0.85,0.12,1.0
agilebill,commit,bge-small,recent,title_file_w1000_recent,title,file,w1000,0.0850694444444444,0.0861111111111111,0.05,0.025,0.0666666666666666,0.1,0.04,0.1,0.03,0.153125
agilebill,commit,bge-small,recent,title_module_w1000_recent,title,module,w1000,0.5337500000000001,0.5491666666666666,0.3,0.25,0.2666666666666666,0.7,0.2,0.85,0.12,1.0
agilebill,commit,bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.063125,0.0849999999999999,0.05,0.025,0.05,0.075,0.04,0.078125,0.02,0.078125
