model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-large,recent,title_file_w100_recent,title,file,w100,0.3173557728647014,0.3691666666666666,0.31,0.2264761904761905,0.1766666666666666,0.3164722222222222,0.1369999999999999,0.3629484126984127,0.081,0.407063492063492
bge-large,recent,title_module_w100_recent,title,module,w100,0.8131869047619047,0.8320833333333333,0.735,0.5514166666666667,0.4116666666666666,0.8529166666666665,0.292,0.9732499999999998,0.15,0.99
bge-large,recent,desc_file_w100_recent,desc,file,w100,0.3177703373015872,0.389720238095238,0.345,0.2365257936507936,0.1783333333333333,0.317204365079365,0.132,0.3677579365079365,0.0765,0.4016031746031746
bge-large,recent,desc_module_w100_recent,desc,module,w100,0.7818525793650793,0.8020833333333333,0.685,0.5097499999999999,0.4133333333333333,0.8498333333333333,0.292,0.9703333333333332,0.15,0.99
bge-large,recent,comments_file_w100_recent,comments,file,w100,0.2987614087301587,0.365281746031746,0.305,0.2122698412698412,0.175,0.3278710317460317,0.126,0.3548829365079365,0.068,0.3882162698412698
bge-large,recent,comments_module_w100_recent,comments,module,w100,0.7198724206349206,0.741095238095238,0.595,0.4449166666666667,0.3783333333333333,0.784,0.279,0.9399166666666668,0.15,0.99
bge-large,recent,title_file_w1000_recent,title,file,w1000,0.3994570326278659,0.4720853174603174,0.375,0.2761785714285714,0.2283333333333333,0.4222023809523809,0.167,0.477109126984127,0.108,0.5586805555555555
bge-large,recent,title_module_w1000_recent,title,module,w1000,0.8252573412698412,0.857845238095238,0.77,0.5922499999999999,0.4233333333333333,0.8885833333333332,0.277,0.9490833333333332,0.151,1.0
bge-large,recent,desc_file_w1000_recent,desc,file,w1000,0.4182117709120685,0.4967896825396825,0.41,0.2995813492063492,0.2266666666666666,0.4174821428571428,0.175,0.4946111111111111,0.1115,0.5832341269841269
bge-large,recent,desc_module_w1000_recent,desc,module,w1000,0.8223952380952381,0.8590555555555555,0.76,0.5872499999999999,0.415,0.8823333333333333,0.282,0.96225,0.151,1.0
bge-large,recent,comments_file_w1000_recent,comments,file,w1000,0.3499151785714286,0.4144305555555556,0.33,0.2381230158730158,0.1933333333333333,0.3635376984126984,0.147,0.4344583333333333,0.092,0.5319781746031746
bge-large,recent,comments_module_w1000_recent,comments,module,w1000,0.7891579365079364,0.800970238095238,0.665,0.5335,0.405,0.8665,0.273,0.9428333333333332,0.151,1.0
bge-large,recent,title_file_all_recent,title,file,all,0.4276935507999496,0.5087242063492063,0.42,0.3200396825396825,0.2183333333333333,0.4207380952380951,0.165,0.4932698412698413,0.113,0.5967361111111111
bge-large,recent,title_module_all_recent,title,module,all,0.7990914682539682,0.8342222222222222,0.74,0.5689166666666666,0.3933333333333333,0.8394166666666666,0.276,0.9386666666666666,0.1505,0.999
bge-large,recent,desc_file_all_recent,desc,file,all,0.4507000188964474,0.5478035714285714,0.47,0.3388174603174603,0.2333333333333333,0.4452599206349207,0.1689999999999999,0.5231130952380952,0.1125,0.6028253968253968
bge-large,recent,desc_module_all_recent,desc,module,all,0.7930420634920634,0.8343055555555555,0.715,0.5422499999999999,0.41,0.8785833333333334,0.28,0.9601666666666666,0.1505,0.999
bge-large,recent,comments_file_all_recent,comments,file,all,0.375702449452003,0.4493392857142856,0.34,0.2511091269841269,0.2033333333333333,0.3932956349206349,0.1589999999999999,0.4900297619047619,0.103,0.5779503968253968
bge-large,recent,comments_module_all_recent,comments,module,all,0.7708551587301586,0.7938095238095237,0.67,0.52975,0.38,0.8309166666666666,0.262,0.915,0.151,1.0
bge-large,modn,title_file_w100_modn,title,file,w100,0.1580848135550516,0.218797619047619,0.15,0.0949126984126984,0.1083333333333333,0.1770714285714285,0.076,0.1984880952380952,0.0504999999999999,0.2607301587301587
bge-large,modn,title_module_w100_modn,title,module,w100,0.676336111111111,0.7000535714285714,0.51,0.3686666666666667,0.39,0.8391666666666666,0.257,0.8913333333333333,0.143,0.9808333333333332
bge-large,modn,desc_file_w100_modn,desc,file,w100,0.1508683106575963,0.2061150793650793,0.145,0.0890376984126984,0.1,0.1700654761904761,0.078,0.2144682539682539,0.0464999999999999,0.2403690476190476
bge-large,modn,desc_module_w100_modn,desc,module,w100,0.7186357142857142,0.7423809523809524,0.61,0.4701666666666667,0.375,0.8025,0.263,0.9209166666666668,0.143,0.9808333333333332
bge-large,modn,comments_file_w100_modn,comments,file,w100,0.1297554453262786,0.1757003968253968,0.12,0.0742876984126984,0.0883333333333333,0.1517876984126984,0.066,0.1930376984126984,0.04,0.2112162698412698
bge-large,modn,comments_module_w100_modn,comments,module,w100,0.7184075396825398,0.7396369047619048,0.595,0.4536666666666666,0.38,0.8193333333333334,0.265,0.923,0.143,0.9808333333333332
bge-large,modn,title_file_w1000_modn,title,file,w1000,0.2326319444444444,0.2880257936507936,0.18,0.1164960317460317,0.1483333333333333,0.2699087301587301,0.1159999999999999,0.3431309523809524,0.0775,0.4102142857142857
bge-large,modn,title_module_w1000_modn,title,module,w1000,0.7757825396825396,0.7990535714285714,0.685,0.5369999999999999,0.3883333333333333,0.8331666666666666,0.262,0.9214166666666668,0.1445,0.9925
bge-large,modn,desc_file_w1000_modn,desc,file,w1000,0.2351736221340387,0.3028650793650793,0.22,0.1382936507936508,0.1483333333333333,0.2633690476190476,0.114,0.3143373015873016,0.0725,0.3765595238095238
bge-large,modn,desc_module_w1000_modn,desc,module,w1000,0.7882146825396825,0.8216369047619048,0.71,0.5536666666666666,0.3966666666666667,0.8654166666666667,0.267,0.9386666666666668,0.145,0.9975
bge-large,modn,comments_file_w1000_modn,comments,file,w1000,0.2036619378306878,0.268484126984127,0.195,0.1274603174603174,0.1216666666666666,0.2178928571428571,0.0989999999999999,0.266281746031746,0.0665,0.3473928571428571
bge-large,modn,comments_module_w1000_modn,comments,module,w1000,0.772553373015873,0.8033035714285716,0.675,0.5378333333333333,0.3916666666666667,0.8554166666666666,0.272,0.9559166666666666,0.145,0.9975
