model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.2371351450793914,0.3100059523809523,0.27,0.2100048282470882,0.1133333333333333,0.2400524472947073,0.0799999999999999,0.2589274472947073,0.054,0.2920022912309643
bge-small,recent,title_module_w100_recent,title,module,w100,0.8442969104308389,0.8611666666666667,0.77,0.6962976190476191,0.3583333333333333,0.915142857142857,0.226,0.9421071428571428,0.12,0.971904761904762
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.2339298273881588,0.3066865079365079,0.275,0.2111714949137549,0.115,0.236219113961374,0.076,0.2482191139613739,0.0495,0.281463341955602
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.8378961167800454,0.857297619047619,0.76,0.6812976190476191,0.3583333333333333,0.915142857142857,0.227,0.9458571428571428,0.12,0.971904761904762
bge-small,recent,diff_file_w100_recent,diff,file,w100,0.2405503269935034,0.3220059523809523,0.275,0.1992621381886087,0.1366666666666666,0.2491250483048083,0.096,0.2761875483048084,0.057,0.2941147621728117
bge-small,recent,diff_module_w100_recent,diff,module,w100,0.7566802437641723,0.7722916666666666,0.605,0.5304642857142857,0.3533333333333333,0.9026428571428572,0.227,0.9456071428571428,0.12,0.971904761904762
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.2757378063089833,0.3494285714285713,0.28,0.2103095238095237,0.165,0.2933192151129457,0.1199999999999999,0.3198607291544598,0.074,0.3411173818155242
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.6822324263038547,0.7010119047619047,0.53,0.458797619047619,0.335,0.8422261904761905,0.218,0.9091904761904762,0.12,0.9777380952380952
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.2719732668063543,0.3538789682539683,0.29,0.2076714949137549,0.175,0.29785492939866,0.123,0.3197430596507609,0.0725,0.3342932868283857
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.706332105064248,0.7226706349206349,0.57,0.501297619047619,0.3366666666666666,0.8505595238095239,0.217,0.909309523809524,0.12,0.9777380952380952
bge-small,recent,diff_file_w1000_recent,diff,file,w1000,0.2634177176986949,0.3558869047619047,0.28,0.1934553571428571,0.1666666666666666,0.2879384826917722,0.122,0.3208250219566008,0.0745,0.3424252686741076
bge-small,recent,diff_module_w1000_recent,diff,module,w1000,0.5637453231292517,0.5778928571428571,0.34,0.2862976190476191,0.3116666666666666,0.7877619047619047,0.214,0.8916904761904761,0.121,0.9801190476190476
bge-small,recent,title_file_all_recent,title,file,all,0.2132367650342965,0.2640238095238095,0.205,0.1702442810457516,0.1116666666666666,0.2404588001867413,0.074,0.2515225256769374,0.0469999999999999,0.2866632872846107
bge-small,recent,title_module_all_recent,title,module,all,0.2615146825396826,0.266281746031746,0.095,0.0739166666666666,0.1266666666666666,0.2807619047619047,0.126,0.4913928571428571,0.093,0.7489404761904761
bge-small,recent,desc_file_all_recent,desc,file,all,0.239420878692386,0.3016170634920634,0.25,0.1939032446311858,0.1249999999999999,0.256531921101774,0.09,0.2766512021475257,0.057,0.3024662751464222
bge-small,recent,desc_module_all_recent,desc,module,all,0.303865306122449,0.3140158730158729,0.155,0.1205833333333333,0.15,0.3424285714285714,0.142,0.5606785714285715,0.0905,0.7139404761904763
bge-small,recent,diff_file_all_recent,diff,file,all,0.1622947232428324,0.2026488095238094,0.125,0.0989746732026144,0.1033333333333333,0.202610060690943,0.073,0.2269281682369917,0.0465,0.2692734063322298
bge-small,recent,diff_module_all_recent,diff,module,all,0.2904345616024187,0.3023392857142857,0.085,0.063797619047619,0.1466666666666666,0.3517619047619048,0.139,0.5623452380952381,0.1015,0.827154761904762
bge-small,modn,title_file_w100_modn,title,file,w100,0.0204479379747236,0.0476150793650793,0.03,0.0112529137529137,0.02,0.0206847319347319,0.016,0.0308930652680652,0.011,0.0382323509823509
bge-small,modn,title_module_w100_modn,title,module,w100,0.5553876678876679,0.626922619047619,0.555,0.4643589743589744,0.25,0.5912179487179486,0.162,0.633301282051282,0.0895,0.6851602564102564
bge-small,modn,desc_file_w100_modn,desc,file,w100,0.0229674249361749,0.0446924603174603,0.025,0.0156468531468531,0.0183333333333333,0.0250029137529137,0.013,0.027711247086247,0.0105,0.0378968531468531
bge-small,modn,desc_module_w100_modn,desc,module,w100,0.5464786324786325,0.6134642857142858,0.53,0.4431089743589744,0.2516666666666666,0.5951923076923077,0.16,0.623301282051282,0.0895,0.6851602564102564
bge-small,modn,diff_file_w100_modn,diff,file,w100,0.0276337211399711,0.0440555555555555,0.025,0.0179545454545454,0.0216666666666666,0.0311174242424242,0.018,0.0366439393939393,0.01,0.0383582251082251
bge-small,modn,diff_module_w100_modn,diff,module,w100,0.5092388583638584,0.5783809523809523,0.46,0.3831089743589743,0.2516666666666666,0.5887179487179487,0.162,0.6324679487179486,0.0895,0.6851602564102564
bge-small,modn,title_file_w1000_modn,title,file,w1000,0.0255649406149406,0.0420059523809523,0.03,0.0113611388611388,0.0266666666666666,0.0326192557442557,0.02,0.0357758491508491,0.012,0.0384030136530136
bge-small,modn,title_module_w1000_modn,title,module,w1000,0.3950590913715913,0.4430396825396825,0.245,0.1789423076923077,0.2416666666666666,0.5558012820512821,0.165,0.6314102564102564,0.094,0.7166025641025641
